# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-T" "6" "-s" "2" "-a" "downloads/Saccharomyces_cerevisiae.R64-1-1.108.gtf" "-o" "counts/counts.txt" "hisat2/control_ribo_rep1_sorted_markdup_filt.bam" 
Geneid	Chr	Start	End	Strand	Length	hisat2/control_ribo_rep1_sorted_markdup_filt.bam
YDR496C	IV	1441433	1443403	-	1971	6152
YDR313C	IV	1089219	1090079	-	861	843
YDL108W	IV;IV	267698;267807	267725;268699	+;+	921	941
tV(CAC)D	IV	1075472	1075544	-	73	2
YDR340W	IV	1150881	1151183	+	303	1
YDL147W	IV	190924	192261	+	1338	7719
YDL081C	IV	309802	310122	-	321	9908
YDR283C	IV	1025070	1030049	-	4980	4665
YDR261C	IV	977521	979209	-	1689	5888
YDL211C	IV	79294	80412	-	1119	159
YDL074C	IV	324047	326149	-	2103	2637
YDL091C	IV	293392	294759	-	1368	1363
YDR346C	IV	1167214	1168659	-	1446	8485
YDR072C	IV	589761	591344	-	1584	3275
YDR242W	IV	946807	948456	+	1650	1141
YDR323C	IV	1112480	1114027	-	1548	386
YDR486C	IV	1427431	1428120	-	690	1399
YDR420W	IV	1306267	1311675	+	5409	6048
YDL122W	IV	242552	244981	+	2430	5085
YDR390C	IV	1254937	1256847	-	1911	2096
YDR481C	IV	1418550	1420250	-	1701	4674
YDR318W	IV;IV	1103758;1103893	1103809;1104947	+;+	1107	550
YDL105W	IV	272389	273597	+	1209	353
YDL141W	IV	203039	205111	+	2073	2374
YDR400W	IV	1271063	1272085	+	1023	1782
YDR522C	IV	1483795	1485303	-	1509	2
YDL173W	IV	148191	149078	+	888	2687
YDR279W	IV	1019368	1020420	+	1053	824
YDR281C	IV	1022007	1022321	-	315	38
YDR213W	IV	889751	892492	+	2742	2673
YDR179W-A	IV	819433	820824	+	1392	395
YDR330W	IV	1127872	1129374	+	1503	2332
YDR106W	IV	667004	667858	+	855	121
YDL178W	IV	139522	141114	+	1593	2412
YDR484W	IV	1422763	1424688	+	1926	1062
YDR308C	IV	1078027	1078449	-	423	760
YDL192W	IV	116321	116866	+	546	9005
YDL202W	IV	98475	99224	+	750	955
YDR146C	IV	748613	750742	-	2130	2011
YDR241W	IV	945151	945438	+	288	85
YDL158C	IV	173866	174174	-	309	74
YDL185W	IV	126787	130002	+	3216	56920
YDR251W	IV	960614	963106	+	2493	6740
tL(UAA)D	IV	519743	519826	+	84	4
YDR192C	IV	843569	844861	-	1293	1039
YDR368W	IV	1213904	1214842	+	939	2796
YDR494W	IV	1436930	1438015	+	1086	1572
YDR399W	IV	1270068	1270733	+	666	5550
YDR070C	IV	588098	588379	-	282	506
YDR138W	IV	730578	732836	+	2259	1469
YDR031W	IV	503498	503863	+	366	498
YDR255C	IV	966557	967822	-	1266	1594
YDL060W	IV	341619	343985	+	2367	5106
YDR048C	IV	553084	553398	-	315	13
YDR067C	IV	582791	583465	-	675	1739
YDR126W	IV	703234	704244	+	1011	538
YDR315C	IV	1092741	1093586	-	846	268
YDL126C	IV	236157	238664	-	2508	35200
YDR262W	IV	993134	993952	+	819	2120
tQ(UUG)D3	IV	802731	802802	-	72	1
YDR345C	IV	1162957	1164660	-	1704	19529
YDR079W	IV	603064	603399	+	336	401
YDR433W	IV	1329600	1330040	+	441	28
YDL144C	IV	198662	199732	-	1071	1493
YDR306C	IV	1073735	1075171	-	1437	1729
YDR292C	IV	1043146	1045011	-	1866	3504
YDL009C	IV	432925	433248	-	324	14
YDR290W	IV	1039370	1039699	+	330	2
YDR282C	IV	1023511	1024755	-	1245	830
YDR170C	IV	796193	802222	-	6030	23530
YDR174W	IV	812110	812850	+	741	3629
YDL218W	IV	66493	67446	+	954	58
YDL062W	IV	339857	340282	+	426	6
YDL048C	IV	366739	368211	-	1473	8237
YDR500C	IV;IV	1450198;1450847	1450457;1450853	-;-	267	5288
YDR112W	IV	679544	679852	+	309	3
YDR538W	IV	1510902	1511630	+	729	683
YDL011C	IV	432308	432631	-	324	2
YDR355C	IV	1186067	1186369	-	303	0
YDR301W	IV	1063352	1067425	+	4074	3444
YDR412W	IV	1294693	1295400	+	708	1349
YDR530C	IV	1496791	1497768	-	978	1384
YDR227W	IV	917571	921647	+	4077	3088
YDR041W	IV	539803	540414	+	612	1256
YDR015C	IV	477960	478199	-	240	0
YDL008W	IV	433497	433994	+	498	637
YDR234W	IV	931129	933210	+	2082	4402
YDR511W	IV	1470017	1470418	+	402	453
YDR519W	IV	1480425	1480832	+	408	1314
YDL086C-A	IV	301655	302089	-	435	98
YDR250C	IV	960086	960361	-	276	7
YDR465C	IV	1393336	1394574	-	1239	2038
YDL001W	IV	447984	449276	+	1293	713
YDR454C	IV	1366264	1366827	-	564	4540
YDR013W	IV	473157	473783	+	627	458
YDR076W	IV	598468	599688	+	1221	189
YDL095W	IV	287059	289512	+	2454	15689
YDL007C-A	IV	436567	436824	-	258	0
YDL130W	IV;IV	229906;230321	230019;230527	+;+	321	9098
YDR100W	IV	655013	655444	+	432	1064
YDR479C	IV	1415210	1416874	-	1665	1468
tS(AGA)D1	IV	437772	437853	+	82	0
YDL117W	IV	248581	251238	+	2658	3809
YDR140W	IV	734138	734803	+	666	904
YDR381W	IV;IV	1236558;1237609	1236842;1238004	+;+	681	4904
tQ(UUG)D2	IV	645153	645224	-	72	0
YDR327W	IV	1125302	1125628	+	327	6
YDR062W	IV	576474	578159	+	1686	5666
YDR143C	IV	742042	743874	-	1833	1899
YDL172C	IV	148607	149086	-	480	38
YDL053C	IV	361699	362256	-	558	1577
YDR223W	IV	912099	913502	+	1404	129
YDL037C	IV	384601	385587	-	987	899
YDL167C	IV	160995	163154	-	2160	2008
YDR246W-A	IV	955133	955333	+	201	26
YDR371C-A	IV	1219509	1219613	-	105	3
YDR517W	IV	1477239	1478357	+	1119	3407
YDL226C	IV	51115	52173	-	1059	3129
YDR467C	IV	1397583	1397909	-	327	18
YDL134C	IV	219662	220771	-	1110	3178
YDR117C	IV	683946	685643	-	1698	1720
YDR314C	IV	1090433	1092511	-	2079	996
YDR440W	IV	1342493	1344241	+	1749	861
YDR303C	IV	1068729	1071386	-	2658	1984
YDL078C	IV	315357	316388	-	1032	4101
YDL238C	IV	28985	30454	-	1470	1068
YDR529C	IV	1496165	1496548	-	384	2828
YDR437W	IV	1337352	1337774	+	423	118
snR47	IV	541602	541700	-	99	168
YDL196W	IV	106741	107070	+	330	8
YDR452W	IV	1362878	1364902	+	2025	4425
YDR445C	IV	1352182	1352589	-	408	0
YDR347W	IV	1169178	1170143	+	966	1942
tQ(UUG)D1	IV	520972	521043	+	72	0
YDR490C	IV	1431968	1434268	-	2301	2096
YDR516C	IV	1474974	1476476	-	1503	7659
YDR509W	IV	1468226	1468573	+	348	5
YDL193W	IV	114672	115799	+	1128	2042
YDL137W	IV	216529	217074	+	546	4613
YDL118W	IV	247302	247682	+	381	1
YDR235W	IV	933504	935138	+	1635	1099
YDR233C	IV	929470	930357	-	888	9446
YDR388W	IV	1250186	1251634	+	1449	7609
YDR209C	IV	871036	871449	-	414	3
YDR049W	IV	553254	555152	+	1899	1872
YDL194W	IV	111580	114234	+	2655	1612
YDR021W	IV	486804	488003	+	1200	800
YDR353W	IV	1183299	1184258	+	960	10160
YDR051C	IV	557056	558060	-	1005	1121
YDR288W	IV	1037195	1038106	+	912	800
YDR141C	IV	734901	739997	-	5097	7161
YDR194C	IV	845952	847946	-	1995	5926
YDR424C	IV;IV;IV	1319387;1319698;1319817	1319617;1319720;1319841	-;-;-	279	689
YDR054C	IV	561440	562327	-	888	2729
YDR122W	IV	694700	697894	+	3195	6481
YDR184C	IV	830629	831513	-	885	1135
YDR183C-A	IV	830397	830654	-	258	34
YDL240W	IV	22823	25876	+	3054	1358
YDR056C	IV	565023	565640	-	618	1945
YDR541C	IV	1519664	1520698	-	1035	1086
YDL042C	IV	376757	378445	-	1689	1161
YDR185C	IV	831934	832473	-	540	249
YDR328C	IV	1125434	1126018	-	585	3218
YDR280W	IV	1020747	1021664	+	918	1456
tV(UAC)D	IV	488797	488870	-	74	6
YDR098C	IV	644178	644930	-	753	2785
YDR005C	IV;IV	456836;458098	458017;458103	-;-	1188	1290
YDR423C	IV	1318046	1319275	-	1230	1695
YDR017C	IV	479115	482267	-	3153	5471
YDR419W	IV	1303174	1305072	+	1899	1039
YDR444W	IV	1350290	1352353	+	2064	1387
YDR341C	IV	1151803	1153626	-	1824	11661
YDR154C	IV	768403	768753	-	351	1387
YDR464W	IV	1388872	1393179	+	4308	3908
YDR132C	IV	718816	720303	-	1488	1005
YDL210W	IV	84270	85985	+	1716	104
YDR395W	IV	1263324	1266158	+	2835	8369
YDL222C	IV	60872	61801	-	930	449
YDR372C	IV	1221112	1222149	-	1038	3584
YDR325W	IV	1117126	1120233	+	3108	1638
YDR216W	IV	895035	899006	+	3972	4851
YDR082W	IV	610441	611925	+	1485	717
YDL224C	IV	54397	56346	-	1950	2328
YDR498C	IV	1445843	1446994	-	1152	1270
YDR010C	IV	465051	465383	-	333	7
YDR006C	IV	458542	461247	-	2706	4994
YDR182W	IV	827582	829057	+	1476	2527
YDL102W	IV	276872	280165	+	3294	2887
YDL179W	IV	138291	139205	+	915	1337
YDL067C	IV	334217	334396	-	180	1170
YDR030C	IV	501753	503273	-	1521	407
YDR020C	IV	485746	486444	-	699	299
YDR527W	IV	1491094	1492413	+	1320	2135
YDR333C	IV	1133260	1135431	-	2172	2356
YDL093W	IV	289909	292140	+	2232	1920
YDL043C	IV	375680	376480	-	801	640
YDR139C	IV;IV	733618;733776	733702;733924	-;-	234	657
YDR322C-A	IV	1112003	1112293	-	291	934
YDL130W-A	IV	229171	229431	+	261	2052
YDR210W	IV	871074	871301	+	228	891
YDR260C	IV	976717	977229	-	513	402
YDL017W	IV	424209	425732	+	1524	1158
YDR073W	IV	592439	592948	+	510	858
YDL069C	IV	333121	333810	-	690	250
YDR455C	IV	1367373	1367681	-	309	1
YDR461W	IV	1385176	1385286	+	111	1
YDR435C	IV	1332983	1333969	-	987	1399
YDL063C	IV	338272	340134	-	1863	2650
YDR121W	IV	693585	694175	+	591	921
YDR178W	IV	817950	818495	+	546	2094
YDL013W	IV	429067	430926	+	1860	1759
YDR534C	IV	1503314	1504900	-	1587	121
YDR392W	IV	1258696	1259709	+	1014	888
YDR034C-A	IV	520516	520692	-	177	2
YDL132W	IV	224304	226751	+	2448	5184
YDR535C	IV;IV	1506606;1507315	1507058;1507362	-;-	501	29
YDR202C	IV	856898	857953	-	1056	1388
YDL050C	IV	364446	364817	-	372	6
YDR524C-A	IV	1489871	1489990	-	120	1
YDL109C	IV	265258	267201	-	1944	674
YDR211W	IV	884727	886865	+	2139	5084
YDR110W	IV	676102	677802	+	1701	821
tG(CCC)D	IV	1257008	1257079	-	72	0
YDR274C	IV	1011589	1011960	-	372	13
YDR167W	IV	789449	790069	+	621	918
YDR156W	IV	769525	769938	+	414	1416
YDL223C	IV	57265	60405	-	3141	2225
YDR075W	IV	597156	598082	+	927	434
YDR039C	IV	531307	534582	-	3276	78
YDL088C	IV	298417	300003	-	1587	2754
YDL129W	IV	231024	231899	+	876	527
YDL215C	IV	70640	73918	-	3279	8263
YDR297W	IV	1056551	1057600	+	1050	3957
YDR131C	IV	716790	718460	-	1671	700
YDR230W	IV	926223	926570	+	348	11
YDR348C	IV	1170326	1171825	-	1500	2835
YDL169C	IV	158064	158735	-	672	519
YDR007W	IV	461842	462516	+	675	951
YDL195W	IV	107208	111029	+	3822	15083
YDR263C	IV	994242	995534	-	1293	213
YDR220C	IV	907000	907293	-	294	30
YDR429C	IV	1324477	1325301	-	825	6790
YDR119W-A	IV	691014	691214	+	201	453
YDR421W	IV	1312040	1314892	+	2853	1669
YDL186W	IV	125616	126449	+	834	10
YDL198C	IV	103649	104551	-	903	2279
YDL120W	IV	245923	246447	+	525	1334
YDR379W	IV	1230167	1233196	+	3030	2780
YDL029W	IV;IV	399340;399485	399361;400638	+;+	1176	5759
YDR205W	IV	859346	861520	+	2175	1476
YDR094W	IV	635840	636175	+	336	12
YDR369C	IV	1215016	1217580	-	2565	1038
YDR088C	IV	618497	619645	-	1149	996
YDR411C	IV	1293369	1294394	-	1026	1531
YDR441C	IV	1344517	1345062	-	546	1072
YDR446W	IV	1353725	1354633	+	909	29
YDL183C	IV	130871	131833	-	963	535
YDR194W-A	IV	848071	848223	+	153	0
YDR114C	IV	681924	682226	-	303	0
YDR442W	IV	1345647	1346039	+	393	2
tK(CUU)D2	IV	1352466	1352538	-	73	0
YDL059C	IV	344237	344953	-	717	359
YDR016C	IV	478474	478758	-	285	400
YDR430C	IV	1325501	1328470	-	2970	3242
YDR366C	IV	1212438	1212836	-	399	11
YDR374W-A	IV	1224757	1225026	+	270	355
YDR293C	IV	1045640	1049392	-	3753	22148
YDR459C	IV	1382319	1383443	-	1125	678
YDR022C	IV	488072	488662	-	591	478
YDR217C	IV	899551	903480	-	3930	3118
YDR052C	IV	558511	560625	-	2115	2018
YDL027C	IV	403695	404957	-	1263	1560
YDR104C	IV	661173	664910	-	3738	1594
YDL136W	IV;IV	217600;218008	217602;218367	+;+	363	2515
YDR248C	IV	957758	958339	-	582	788
YDR078C	IV	602198	602869	-	672	135
YDR068W	IV	583713	584645	+	933	1423
YDL080C	IV	310642	312471	-	1830	1604
YDR461C-A	IV	1385524	1385766	-	243	199
YDR252W	IV	963412	963861	+	450	158
YDL046W	IV	371240	371761	+	522	2238
YDR540C	IV	1517136	1517675	-	540	196
YDR181C	IV	825910	827355	-	1446	1091
YDL200C	IV	100501	101067	-	567	380
YDR108W	IV	671269	673365	+	2097	1034
YDR337W	IV	1146319	1147179	+	861	1251
YDR356W	IV	1186107	1188941	+	2835	1700
YDL235C	IV	33415	33918	-	504	1834
YDR320W-B	IV	1108484	1108621	+	138	21
YDL245C	IV	11657	13360	-	1704	4
YDR170W-A	IV	803195	804517	+	1323	231
YDR210W-B	IV	872112	877425	+	5314	236
YDR210C-D	IV	878659	883927	-	5269	427
YDR316W-B	IV	1096064	1101332	+	5269	10
YDR261C-D	IV	987534	992349	-	4816	1262
YDR210C-C	IV	882605	883927	-	1323	0
YDR261C-C	IV	991027	992349	-	1323	0
YDR261W-B	IV	981462	986775	+	5314	683
YDR365W-A	IV	1206997	1208319	+	1323	0
YDR316W-A	IV	1096064	1097386	+	1323	0
YDR261W-A	IV	981462	982778	+	1317	0
YDR365W-B	IV	1206997	1212265	+	5269	927
YDR098C-B	IV	645858	651126	-	5269	25
YDR098C-A	IV	649804	651126	-	1323	0
YDR210W-A	IV	872112	873428	+	1317	0
YDR034C-D	IV	514043	519356	-	5314	844
YDR034C-C	IV	518040	519356	-	1317	0
YOR185C	XV	681444	682106	-	663	1961
YOR237W	XV	781994	783298	+	1305	157
YOL048C	XV;XV	240204;241026	240947;241310	-;-	1029	1283
tG(GCC)O1	XV	226611	226681	-	71	0
YOL144W	XV	53098	54552	+	1455	1027
snR8	XV	832332	832521	+	190	1452
YOR082C	XV	479296	479637	-	342	9
YOL072W	XV	194970	196337	+	1368	884
YOR114W	XV	537570	538454	+	885	226
YOL085C	XV	161673	162014	-	342	15
YOR385W	XV	1065043	1065915	+	873	5302
YOR214C	XV	745593	746303	-	711	5
YOL119C	XV	94856	96361	-	1506	1464
YOR019W	XV	368127	370319	+	2193	2109
YOR206W	XV	727512	729644	+	2133	6504
YOR345C	XV	981812	982162	-	351	2
YOR341W	XV	960987	965981	+	4995	27670
YOL088C	XV	153912	154745	-	834	1479
YOR392W	XV	1079282	1079725	+	444	0
YOR160W	XV	633839	636757	+	2919	2503
YOR084W	XV	480587	481750	+	1164	874
YOR039W	XV	405768	406544	+	777	2103
YOR264W	XV	818866	820158	+	1293	2285
YOR281C	XV	846269	847129	-	861	2061
tK(UUU)O	XV;XV	438643;438703	438679;438738	+;+	73	17
YOR230W	XV	770800	772113	+	1314	13045
YOR144C	XV	602717	605092	-	2376	1243
YOL081W	XV	171070	180309	+	9240	19863
YOL052C	XV	232446	233636	-	1191	2119
YOR285W	XV	849635	850054	+	420	3326
YOR058C	XV	433688	436345	-	2658	2379
YOR270C	XV	828052	830574	-	2523	21088
YOL154W	XV	34658	35407	+	750	144
YOR115C	XV	538659	539465	-	807	1233
YOL003C	XV	321858	322994	-	1137	759
YOR258W	XV	811671	812324	+	654	310
tN(GUU)O2	XV	487439	487512	+	74	0
YOL103W	XV	124001	125830	+	1830	3601
YOR215C	XV	746725	747282	-	558	1759
YOL095C	XV	139227	141347	-	2121	519
YOL063C	XV	207392	210265	-	2874	2565
YOL079W	XV	181057	181455	+	399	3
YOR389W	XV	1074213	1076087	+	1875	380
YOR231W	XV	772601	774127	+	1527	2218
YOR021C	XV	372798	373439	-	642	2498
YOR139C	XV	586950	587342	-	393	3
YOR120W	XV	551114	552052	+	939	3420
YOL038W	XV	255337	256101	+	765	5032
YOR023C	XV	376012	377712	-	1701	2778
YOL124C	XV	85456	86757	-	1302	1818
YOR212W	XV	742910	744181	+	1272	2276
YOL013W-A	XV	301047	301238	+	192	22
YOL120C	XV;XV	93395;94291	93843;94402	-;-	561	18563
YOR181W	XV	675939	677840	+	1902	2105
YOR333C	XV	944541	944957	-	417	8
YOR335C	XV	946233	949109	-	2877	20929
YOL046C	XV	243466	244140	-	675	5
YOL029C	XV	269815	270420	-	606	666
YOL155W-A	XV	27084	27218	+	135	0
YOR072W	XV	461502	461816	+	315	8
YOL161C	XV	11549	11911	-	363	0
snR58	XV	136088	136183	-	96	7
YOL122C	XV	89692	91419	-	1728	2539
YOR252W	XV	803667	804203	+	537	896
YOR157C	XV	630966	631751	-	786	4043
YOL107W	XV	112102	113130	+	1029	521
YOR274W	XV	837674	838960	+	1287	783
YOL013W-B	XV	300690	300980	+	291	2
YOR343C	XV	968148	968474	-	327	99
YOR093C	XV	497506	502452	-	4947	1936
YOR381W-A	XV	1058423	1058590	+	168	10
YOL065C	XV	204731	205885	-	1155	768
YOR092W	XV	495127	496968	+	1842	2330
YOR207C	XV	730008	733457	-	3450	9240
YOR365C	XV	1023461	1025572	-	2112	21
YOL005C	XV	315813	316175	-	363	1344
YOL020W	XV	286172	287950	+	1779	3770
YOL053W	XV	230085	231272	+	1188	976
YOL117W	XV	97551	99488	+	1938	1118
YOR038C	XV	402761	405388	-	2628	739
YOR303W	XV	882899	884134	+	1236	5400
YOR137C	XV	581813	583681	-	1869	1847
YOL034W	XV	259923	263204	+	3282	1342
YOR052C	XV	426772	427224	-	453	4180
YOR190W	XV	690695	692032	+	1338	85
YOL039W	XV	254297	254617	+	321	10210
YOR349W	XV	989789	992833	+	3045	883
YOL090W	XV	147382	150276	+	2895	2667
YOR271C	XV	831059	832042	-	984	2702
YOR173W	XV	657264	658325	+	1062	2435
YOR106W	XV	519121	519972	+	852	1098
YOR108W	XV	523027	524841	+	1815	4818
YOR059C	XV	438906	440258	-	1353	1599
YOL149W	XV	44938	45633	+	696	943
YOR121C	XV	551798	552103	-	306	38
YOL106W	XV	113226	113579	+	354	32
snR9	XV	407948	408134	-	187	1778
YOR295W	XV	869208	869894	+	687	387
YOR203W	XV	722565	722918	+	354	119
YOR132W	XV	573175	574830	+	1656	3538
YOR216C	XV	747525	748979	-	1455	1955
YOR099W	XV	511825	513006	+	1182	5213
YOR001W	XV	326832	329033	+	2202	4106
YOR009W	XV	344335	345798	+	1464	272
YOR204W	XV	722911	724725	+	1815	23668
YOR209C	XV	736437	737726	-	1290	7124
YOR284W	XV	848478	849209	+	732	249
YOR036W	XV	400348	401214	+	867	2430
YOR154W	XV	624729	626492	+	1764	1278
YOR048C	XV	418630	421650	-	3021	6630
YOL073C	XV	193832	194800	-	969	1199
YOL152W	XV	40748	42610	+	1863	501
YOL101C	XV	126982	127920	-	939	2633
YOR085W	XV	482033	483085	+	1053	4106
YOR227W	XV	762825	766565	+	3741	5830
YOR159C	XV	633282	633566	-	285	405
YOR146W	XV	605873	606178	+	306	4
YOR372C	XV	1034807	1036471	-	1665	2636
YOR112W	XV	531508	533793	+	2286	2334
YOR387C	XV	1069621	1070241	-	621	7
YOR229W	XV	768409	769812	+	1404	1088
YOR068C	XV	453869	454213	-	345	2
YOR376W-A	XV	1045196	1045351	+	156	260
YOL050C	XV	237882	238202	-	321	8
YOR342C	XV	966666	967625	-	960	1518
YOL035C	XV	258803	259105	-	303	5
YOR251C	XV	802550	803464	-	915	1780
YOR041C	XV	408358	408789	-	432	11
YOR130C	XV	569929	570807	-	879	810
YOR119C	XV	548792	550246	-	1455	1657
YOL166C	XV	1000	1338	-	339	0
YOR008C	XV	341278	342414	-	1137	3100
YOL011W	XV	305349	307409	+	2061	3695
YOR248W	XV	798013	798315	+	303	21
YOR202W	XV	721946	722608	+	663	1435
YOR266W	XV	821023	822294	+	1272	628
YOR140W	XV	586981	589281	+	2301	1750
YOR004W	XV	333592	334356	+	765	1228
YOR308C	XV	894624	896387	-	1764	1021
YOR032C	XV	389771	391075	-	1305	362
YOR311C	XV	899056	899928	-	873	1374
YOL019W	XV	288898	290553	+	1656	3124
YOL138C	XV	61325	65350	-	4026	2540
YOL151W	XV	43694	44722	+	1029	1175
YOR330C	XV	939621	943385	-	3765	4841
YOR379C	XV	1050726	1051064	-	339	83
YOR142W	XV	593057	594046	+	990	5142
YOR268C	XV	825534	825932	-	399	4
snR81	XV	234346	234546	+	201	188
YOR017W	XV	361412	363814	+	2403	1875
YOR394W	XV	1082718	1083212	+	495	0
YOL134C	XV	70156	70545	-	390	6
YOR002W	XV	329417	331051	+	1635	3068
YOR194C	XV	711683	712543	-	861	931
YOR298C-A	XV	877230	877685	-	456	4523
YOL069W	XV	198942	200297	+	1356	954
YOR014W	XV	357674	359947	+	2274	7498
YOR346W	XV	981828	984785	+	2958	2672
YOR044W	XV	413007	413480	+	474	455
YOR275C	XV	839084	841069	-	1986	3070
YOR174W	XV	658747	659601	+	855	1096
YOR336W	XV	949773	953870	+	4098	4619
YOL094C	XV	141584	142555	-	972	865
YOR122C	XV;XV	552298;552875	552665;552887	-;-	381	6104
YOR256C	XV	808254	810683	-	2430	3152
YOL137W	XV	65621	67114	+	1494	765
YOR350C	XV	992864	994855	-	1992	1258
YOR196C	XV	715593	716837	-	1245	1903
YOR380W	XV	1051290	1052930	+	1641	666
YOR314W-A	XV	904458	904568	+	111	1
tA(UGC)O	XV	854187	854259	-	73	0
YOL097W-A	XV	136220	136405	+	186	34
YOR376W	XV	1043191	1043559	+	369	3
YOR369C	XV	1028194	1028625	-	432	20280
YOL132W	XV	71300	72715	+	1416	101
YOR296W	XV	870202	874071	+	3870	1393
YOR260W	XV	813984	815720	+	1737	5496
YOR373W	XV	1036834	1039389	+	2556	1178
YOR163W	XV	642741	643307	+	567	925
YOR029W	XV	384600	384935	+	336	8
YOL042W	XV	249825	250916	+	1092	908
YOR316C	XV	906236	907555	-	1320	1481
YOR326W	XV	925721	930445	+	4725	15843
YOR293C-A	XV	867998	868147	-	150	0
YOL036W	XV	256745	259030	+	2286	4235
YOR072W-B	XV	464469	464630	+	162	0
YOR332W	XV	943656	944357	+	702	10089
YOL002C	XV	323411	324364	-	954	4890
YOR193W	XV	710446	711576	+	1131	679
YOR243C	XV	790211	792241	-	2031	4084
YOR126C	XV	559961	560677	-	717	838
YOR070C	XV	455907	457820	-	1914	2468
YOR328W	XV	931803	936497	+	4695	2508
YOL056W	XV	223268	224179	+	912	599
YOR098C	XV	507948	511178	-	3231	6706
YOL110W	XV	109176	109889	+	714	633
YOR213C	XV	744535	745281	-	747	868
YOR253W	XV	804377	804907	+	531	969
YOR008C-A	XV	342857	343081	-	225	0
YOL113W	XV	104326	106293	+	1968	3117
YOR060C	XV	440390	441163	-	774	892
YOL076W	XV	187024	189414	+	2391	1973
YOR186C-A	XV	683329	683538	-	210	13
YOR381W	XV	1055545	1057680	+	2136	478
YOR113W	XV	534075	536819	+	2745	3528
YOR273C	XV	834452	836431	-	1980	3861
tN(GUU)O1	XV	228331	228404	+	74	0
YOR161W-A	XV	637574	637654	+	81	7
YOL147C	XV	47933	48643	-	711	670
YOR338W	XV	956898	957989	+	1092	1670
YOR178C	XV	667860	670241	-	2382	6627
YOR188W	XV	685767	689180	+	3414	3565
YOL159C	XV	17281	17796	-	516	734
YOR382W	XV	1059531	1059992	+	462	484
YOL071W	XV	196507	196995	+	489	682
YOR363C	XV	1020222	1023212	-	2991	1728
YOR069W	XV	453768	455795	+	2028	3039
YOR075W	XV	468212	469252	+	1041	917
YOR124C	XV	554824	558642	-	3819	8177
YOR008W-B	XV	343929	344030	+	102	40
snR31	XV	841958	842182	-	225	1831
YOL025W	XV	274957	276939	+	1983	1116
YOR057W	XV	432186	433373	+	1188	1759
YOR265W	XV	820454	820774	+	321	930
YOL127W	XV;XV	80348;80775	80360;81190	+;+	429	14977
YOR107W	XV	521353	522282	+	930	693
YOL142W	XV	55558	56280	+	723	1293
YOR239W	XV;XV	784857;785689	785687;786744	+;+	1887	4846
YOL091W	XV	145334	147163	+	1830	143
YOR317W	XV	909343	911445	+	2103	10337
YOR370C	XV	1029183	1030994	-	1812	3999
tM(CAU)O1	XV	710201	710272	+	72	4
YOR211C	XV	738924	741569	-	2646	2237
YOR191W	XV	692475	697334	+	4860	5851
YOL064C	XV	206103	207176	-	1074	1755
tT(AGU)O1	XV	113802	113874	+	73	0
YOL049W	XV	238619	240094	+	1476	3694
YOL043C	XV	248392	249534	-	1143	614
YOR043W	XV	410870	412330	+	1461	3256
YOR331C	XV	943565	944122	-	558	48
YOR309C	XV	896698	897078	-	381	142
YOR104W	XV	517642	518490	+	849	540
YOL114C	XV	103317	103925	-	609	152
YOR300W	XV	880575	880883	+	309	34
YOR220W	XV	755328	756125	+	798	3819
YOR378W	XV	1049511	1051058	+	1548	198
YOL059W	XV	217126	218448	+	1323	5450
YOR386W	XV	1066839	1068536	+	1698	2052
YOL027C	XV	272003	273724	-	1722	3720
snR62	XV	409765	409864	-	100	19
snR17a	XV;XV	780107;780278	780120;780596	+;+	333	13990
YOL155C	XV	28703	31606	-	2904	2594
YOR375C	XV	1041678	1043042	-	1365	9120
snR35	XV	759326	759529	-	204	2167
YOR100C	XV	513295	514278	-	984	199
YOL026C	XV	274012	274353	-	342	672
YOL012C	XV	303579	303983	-	405	873
YOR026W	XV	379781	380806	+	1026	726
YOR359W	XV	1011189	1012760	+	1572	1117
YOR250C	XV	800970	802307	-	1338	1477
YOL013C	XV	301380	303035	-	1656	2329
YOR272W	XV	832813	834195	+	1383	2820
tG(GCC)O2	XV	282164	282234	+	71	1
YOL164W-A	XV	4130	4312	+	183	4
YOL082W	XV	168727	169974	+	1248	1774
snR36	XV	680685	680866	-	182	179
YOR035C	XV	397735	400104	-	2370	3596
YOL016C	XV	294777	296120	-	1344	14807
YOR007C	XV	338938	339978	-	1041	11618
YOR325W	XV	924577	925050	+	474	7
YOL085W-A	XV	161579	161791	+	213	60
YOL160W	XV	14313	14654	+	342	29
YOR361C	XV	1015361	1017652	-	2292	9566
YOL158C	XV	19491	21311	-	1821	3212
YOR315W	XV	904760	905800	+	1041	580
YOR010C	XV	346195	346950	-	756	123
YOR384W	XV	1061564	1063648	+	2085	104
YOR234C	XV;XV	778555;779387	778859;779405	-;-	324	5722
YOR283W	XV	847453	848145	+	693	1411
YOR020W-A	XV	371685	371957	+	273	568
YOL045W	XV	243497	246802	+	3306	4513
YOR102W	XV	516423	516773	+	351	19
YOL128C	XV	78352	79479	-	1128	389
YOR360C	XV	1013241	1014821	-	1581	1947
YOL097C	XV	136527	137825	-	1299	6474
YOR164C	XV	643394	644332	-	939	2758
YOR175C	XV	659815	661674	-	1860	6023
tP(UGG)O1	XV;XV	301097;301163	301132;301198	+;+	72	0
YOR086C	XV	483219	486779	-	3561	9944
